V1	V2	V3
50.94000	172.31000	0.21300
16.90000	1183.02000	0.41200
92.44000	205.82000	-0.12700
88.01000	-153.44000	0.24600
81.31000	-153.09000	0.12400
62.18000	332.05000	-0.06800
56.84000	198.72000	-0.13700
14.93000	224.69000	-0.17400
22.64000	190.70000	1.05000
83.63000	-197.80000	0.19800
-17.42000	299.90000	-0.13500
19.46000	270.50000	-0.16500
-18.67000	-172.33000	-0.16100
-18.61000	-199.17000	-0.12000
-21.61000	-226.94000	-0.19300
-19.48000	240.90000	0.11100
-17.98000	-187.73000	-0.14400
22.19000	-208.33000	-0.15700
-19.70000	277.42000	0.20300
28.86000	-206.72000	0.13200
67.05000	-272.78000	0.33000
26.56000	-259.17000	-0.21800
36.19000	676.60000	-0.18600
58.50000	222.92000	0.21200
-23.16000	1128.54000	-0.18900
44.56000	480.18000	-0.15300
29.45000	307.26000	-0.14000
56.32000	-223.21000	0.70000
28.63000	-200.70000	-0.13000
57.29000	230.11000	-0.16100
43.54000	-241.12000	-0.22500
56.28000	672.11000	-0.20000
109.00000	-228.18000	-0.16000
88.88000	503.81000	-0.14100
102.73000	310.94000	0.28000
47.69000	2720.00000	0.15900
27.99000	445.60000	0.44000
44.08000	230.35000	0.38000
28.90000	-202.67000	-0.17200
-24.85000	-253.62000	0.39000
48.19000	-260.59000	0.26000
69.31000	83.49000	0.04200
50.06000	333.19000	-0.05400
62.12000	323.32000	0.16800
78.27000	515.83000	0.57800
49.16000	269.88000	0.07400
74.84000	1332.98000	0.14900
39.76000	189.16000	0.09500
47.00000	240.62000	0.10200
57.39000	221.21000	0.14500
44.31000	199.92000	0.23300
46.87000	223.25000	0.12000
62.07000	403.86000	0.08800
48.44000	780.33000	0.10200
56.91000	225.45000	0.05800
66.07000	337.70000	0.34000
130.62000	335.12000	0.46400
55.26000	759.17000	0.10400
52.37000	325.52000	0.17900
36.46000	229.29000	0.09100
57.06000	337.78000	0.08200
57.68000	332.24000	0.16700
62.96000	365.79000	0.11800
61.90000	4608.30000	0.16900
92.68000	206.59000	0.25900
79.80000	369.12000	0.08700
43.61000	249.27000	0.04900
57.68000	-240.60000	-0.12400
52.77000	-252.91000	0.19100
37.35000	-277.50000	-0.15600
42.11000	320.78000	0.15000
35.62000	-225.34000	0.12100
53.03000	-246.04000	0.26400
42.74000	-218.12000	-0.14200
46.90000	-234.94000	0.15000
43.45000	236.39000	-0.12100
35.05000	439.82000	0.26900
61.22000	-247.85000	0.48000
50.97000	-287.60000	-0.13000
36.35000	268.23000	-0.13500
45.89000	-248.85000	0.18000
55.43000	-215.43000	-0.08600
49.75000	-198.93000	-0.13000
35.95000	-254.98000	0.80000
27.71000	-253.52000	0.16300
44.00000	-227.13000	0.22700
53.11000	229.47000	0.11400
32.71000	244.32000	-0.07300
58.09000	-220.12000	-0.12400
54.80000	-255.07000	-0.11400
48.10000	-251.94000	0.25800
56.02000	-228.65000	-0.09000
42.93000	-231.76000	-0.12700
63.84000	-219.87000	-0.15000
118.06000	322.85000	0.77000
73.78000	-226.75000	-0.13400
87.70000	453.56000	-0.09000
70.59000	-234.16000	0.09800
48.18000	314.98000	-0.07500
82.49000	755.93000	-0.10600
51.44000	569.58000	1.36000
57.69000	-262.50000	0.94000
47.70000	260.02000	0.34800
52.94000	-250.15000	-0.14400
47.20000	-255.16000	-0.16300
59.69000	-223.47000	-0.16100
48.99000	-247.49000	0.23500
226.37000	277.65000	0.78000
55.72000	324.12000	-0.08500
38.50000	-220.79000	-0.11300
81.88000	-221.47000	-0.15200
199.44000	-231.93000	-0.14900
78.90000	-242.55000	0.68000
74.41000	-213.49000	0.14500
390.97000	-218.00000	1.58000
189.75000	-222.47000	0.84000
486.55000	-237.80000	0.83000
72.44000	-242.50000	1.30000
26.93000	-244.23000	-0.09000
34.35000	-232.68000	1.45000
93.57000	-223.81000	0.42000
57.64000	-248.89000	0.54000
61.08000	-237.92000	0.97000
76.64000	-252.01000	0.69000
62.93000	-232.25000	0.75000
26.98000	-249.26000	-0.09000
23.10000	-212.39000	-0.11700
115.23000	-247.24000	0.70000
43.30000	631.12000	0.49000
68.00000	-218.36000	-0.07800
30.37000	-252.77000	-0.14600
151.73000	-259.47000	0.25900
81.75000	-220.72000	-0.09200
132.05000	-247.37000	0.34000
103.95000	-248.55000	0.22300
115.69000	-253.47000	0.55000
119.63000	-238.50000	0.40000
69.27000	313.60000	0.10400
114.33000	-258.47000	0.27200
89.83000	-235.18000	0.18200
16.18000	-221.94000	-0.11600
115.73000	-218.04000	0.59000
117.93000	-248.48000	0.32700
134.45000	-249.99000	0.36300
81.64000	-247.65000	-0.12200
80.24000	315.24000	0.11300
-9.03000	-220.48000	-0.11700
118.17000	-251.15000	0.21700
96.29000	-232.23000	-0.17500
122.66000	-245.43000	0.24200
16.00000	320.55000	0.15200
143.79000	-239.70000	0.50000
103.62000	-242.41000	0.14000
24.38000	-193.07000	1.08000
49.90000	314.06000	0.68000
-26.98000	217.38000	1.44000
-22.22000	-227.79000	0.47000
-25.70000	-215.57000	0.83000
136.13000	555.33000	0.53000
-21.81000	199.96000	0.73000
-23.28000	-233.55000	0.62000
-22.95000	207.67000	0.49000
31.75000	-211.18000	0.54000
-24.90000	519.73000	0.82000
-22.80000	306.93000	0.96000
-25.69000	-224.72000	0.70000
-23.54000	286.60000	0.53000
-24.21000	336.80000	0.55000
-24.20000	369.10000	9.78000
-25.31000	-292.38000	6.53000
37.12000	-169.74000	0.26000
-19.48000	489.80000	0.67000
48.96000	413.64000	2.48000
65.65000	-210.22000	0.91000
-19.74000	-188.90000	1.20000
-26.34000	-268.31000	0.69000
37.72000	-223.33000	0.74000
-31.33000	-454.74000	0.51000
-36.91000	631.38000	-0.17900
37.12000	-536.98000	0.47000
90.17000	-554.99000	-0.20000
-64.04000	-564.96000	-0.24000
-71.33000	1095.20000	-0.31000
98.13000	174.98000	-0.25000
169.60000	305.32000	0.66000
136.88000	192.98000	0.38000
149.34000	262.85000	0.22000
49.58000	260.14000	-0.16900
-29.14000	-474.21000	0.82000
23.38000	338.51000	-0.23000
67.83000	-128.39000	-0.21000
68.01000	-186.00000	-0.23000
152.20000	152.53000	0.40000
132.28000	-150.70000	-0.19000
60.89000	-153.79000	0.26000
234.53000	-97.71000	-0.26000
55.48000	841.17000	0.23000
75.74000	-516.44000	0.65000
68.11000	-457.74000	0.29000
38.74000	-478.86000	0.36000
42.31000	-585.74000	-0.17200
